survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone,embarked_Q,embarked_S,who_man,who_woman,class_Second,class_Third
0,3,1,22,1,0,7.25,True,False,False,True,True,False,False,True
1,1,0,38,1,0,71.2833,False,False,False,False,False,True,False,False
1,3,0,26,0,0,7.925,False,True,False,True,False,True,False,True
1,1,0,35,1,0,53.1,False,False,False,True,False,True,False,False
0,3,1,35,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,28,0,0,8.4583,True,True,True,False,True,False,False,True
0,1,1,54,0,0,51.8625,True,True,False,True,True,False,False,False
0,3,1,2,3,1,21.075,False,False,False,True,False,False,False,True
1,3,0,27,0,2,11.1333,False,False,False,True,False,True,False,True
1,2,0,14,1,0,30.0708,False,False,False,False,False,False,True,False
1,3,0,4,1,1,16.7,False,False,False,True,False,False,False,True
1,1,0,58,0,0,26.55,False,True,False,True,False,True,False,False
0,3,1,20,0,0,8.05,True,True,False,True,True,False,False,True
0,3,1,39,1,5,31.275,True,False,False,True,True,False,False,True
0,3,0,14,0,0,7.8542,False,True,False,True,False,False,False,True
1,2,0,55,0,0,16.0,False,True,False,True,False,True,True,False
0,3,1,2,4,1,29.125,False,False,True,False,False,False,False,True
1,2,1,28,0,0,13.0,True,True,False,True,True,False,True,False
0,3,0,31,1,0,18.0,False,False,False,True,False,True,False,True
1,3,0,28,0,0,7.225,False,True,False,False,False,True,False,True
0,2,1,35,0,0,26.0,True,True,False,True,True,False,True,False
1,2,1,34,0,0,13.0,True,True,False,True,True,False,True,False
1,3,0,15,0,0,8.0292,False,True,True,False,False,False,False,True
1,1,1,28,0,0,35.5,True,True,False,True,True,False,False,False
0,3,0,8,3,1,21.075,False,False,False,True,False,False,False,True
1,3,0,38,1,5,31.3875,False,False,False,True,False,True,False,True
0,3,1,28,0,0,7.225,True,True,False,False,True,False,False,True
0,1,1,19,3,2,263.0,True,False,False,True,True,False,False,False
1,3,0,28,0,0,7.8792,False,True,True,False,False,True,False,True
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True
