survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone,embarked_Q,embarked_S,who_man,who_woman,class_Second,class_Third,family_size,age_bin,fare_bin,fare_per_person
0,3,1,22,1,0,7.25,True,False,False,True,True,False,False,True,2,2,0,3.625
1,1,0,38,1,0,71.2833,False,False,False,False,False,True,False,False,2,3,3,35.64165
1,3,0,26,0,0,7.925,False,True,False,True,False,True,False,True,1,2,0,7.925
1,1,0,35,1,0,53.1,False,False,False,True,False,True,False,False,2,2,3,26.55
0,3,1,35,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,3,1,28,0,0,8.4583,True,True,True,False,True,False,False,True,1,2,1,8.4583
0,1,1,54,0,0,51.8625,True,True,False,True,True,False,False,False,1,3,3,51.8625
0,3,1,2,3,1,21.075,False,False,False,True,False,False,False,True,5,0,2,4.215
1,3,0,27,0,2,11.1333,False,False,False,True,False,True,False,True,3,2,1,3.7111
1,2,0,14,1,0,30.0708,False,False,False,False,False,False,True,False,2,1,2,15.0354
1,3,0,4,1,1,16.7,False,False,False,True,False,False,False,True,3,0,2,5.566666666666666
1,1,0,58,0,0,26.55,False,True,False,True,False,True,False,False,1,3,2,26.55
0,3,1,20,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,3,1,39,1,5,31.275,True,False,False,True,True,False,False,True,7,3,2,4.4678571428571425
0,3,0,14,0,0,7.8542,False,True,False,True,False,False,False,True,1,1,0,7.8542
1,2,0,55,0,0,16.0,False,True,False,True,False,True,True,False,1,3,2,16.0
0,3,1,2,4,1,29.125,False,False,True,False,False,False,False,True,6,0,2,4.854166666666667
1,2,1,28,0,0,13.0,True,True,False,True,True,False,True,False,1,2,1,13.0
0,3,0,31,1,0,18.0,False,False,False,True,False,True,False,True,2,2,2,9.0
1,3,0,28,0,0,7.225,False,True,False,False,False,True,False,True,1,2,0,7.225
0,2,1,35,0,0,26.0,True,True,False,True,True,False,True,False,1,2,2,26.0
1,2,1,34,0,0,13.0,True,True,False,True,True,False,True,False,1,2,1,13.0
1,3,0,15,0,0,8.0292,False,True,True,False,False,False,False,True,1,1,1,8.0292
1,1,1,28,0,0,35.5,True,True,False,True,True,False,False,False,1,2,3,35.5
0,3,0,8,3,1,21.075,False,False,False,True,False,False,False,True,5,0,2,4.215
1,3,0,38,1,5,31.3875,False,False,False,True,False,True,False,True,7,3,3,4.483928571428572
0,3,1,28,0,0,7.225,True,True,False,False,True,False,False,True,1,2,0,7.225
0,1,1,19,3,2,263.0,True,False,False,True,True,False,False,False,6,2,3,43.833333333333336
1,3,0,28,0,0,7.8792,False,True,True,False,False,True,False,True,1,2,0,7.8792
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True,1,2,0,7.8958
0,1,1,40,0,0,27.7208,True,True,False,False,True,False,False,False,1,3,2,27.7208
1,1,0,28,1,0,146.5208,False,False,False,False,False,True,False,False,2,2,3,73.2604
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True,1,2,0,7.75
0,2,1,66,0,0,10.5,True,True,False,True,True,False,True,False,1,,1,10.5
0,1,1,28,1,0,82.1708,True,False,False,False,True,False,False,False,2,2,3,41.0854
0,1,1,42,1,0,52.0,True,False,False,True,True,False,False,False,2,3,3,26.0
1,3,1,28,0,0,7.2292,True,True,False,False,True,False,False,True,1,2,0,7.2292
0,3,1,21,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,3,0,18,2,0,18.0,False,False,False,True,False,True,False,True,3,1,2,6.0
1,3,0,14,1,0,11.2417,False,False,False,False,False,False,False,True,2,1,1,5.62085
0,3,0,40,1,0,9.475,False,False,False,True,False,True,False,True,2,3,1,4.7375
0,2,0,27,1,0,21.0,False,False,False,True,False,True,True,False,2,2,2,10.5
0,3,1,28,0,0,7.8958,True,True,False,False,True,False,False,True,1,2,0,7.8958
1,2,0,3,1,2,41.5792,False,False,False,False,False,False,True,False,4,0,3,10.3948
1,3,0,19,0,0,7.8792,False,True,True,False,False,True,False,True,1,2,0,7.8792
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,3,1,28,1,0,15.5,True,False,True,False,True,False,False,True,2,2,2,7.75
1,3,0,28,0,0,7.75,False,True,True,False,False,True,False,True,1,2,0,7.75
0,3,1,28,2,0,21.6792,True,False,False,False,True,False,False,True,3,2,2,7.226400000000001
0,3,0,18,1,0,17.8,False,False,False,True,False,True,False,True,2,1,2,8.9
0,3,1,7,4,1,39.6875,False,False,False,True,False,False,False,True,6,0,3,6.614583333333333
0,3,1,21,0,0,7.8,True,True,False,True,True,False,False,True,1,2,0,7.8
1,1,0,49,1,0,76.7292,False,False,False,False,False,True,False,False,2,3,3,38.3646
1,2,0,29,1,0,26.0,False,False,False,True,False,True,True,False,2,2,2,13.0
0,1,1,65,0,1,61.9792,True,False,False,False,True,False,False,False,2,,3,30.9896
1,1,1,28,0,0,35.5,True,True,False,True,True,False,False,False,1,2,3,35.5
1,2,0,21,0,0,10.5,False,True,False,True,False,True,True,False,1,2,1,10.5
0,3,1,28,0,0,7.2292,True,True,False,False,True,False,False,True,1,2,0,7.2292
1,2,0,5,1,2,27.75,False,False,False,True,False,False,True,False,4,0,2,6.9375
0,3,1,11,5,2,46.9,False,False,False,True,False,False,False,True,8,0,3,5.8625
0,3,1,22,0,0,7.2292,True,True,False,False,True,False,False,True,1,2,0,7.2292
1,1,0,38,0,0,80.0,False,True,False,True,False,True,False,False,1,3,3,80.0
0,1,1,45,1,0,83.475,True,False,False,True,True,False,False,False,2,3,3,41.7375
0,3,1,4,3,2,27.9,False,False,False,True,False,False,False,True,6,0,2,4.6499999999999995
0,1,1,28,0,0,27.7208,True,True,False,False,True,False,False,False,1,2,2,27.7208
1,3,1,28,1,1,15.2458,True,False,False,False,True,False,False,True,3,2,2,5.081933333333333
1,2,0,29,0,0,10.5,False,True,False,True,False,True,True,False,1,2,1,10.5
0,3,1,19,0,0,8.1583,True,True,False,True,True,False,False,True,1,2,1,8.1583
1,3,0,17,4,2,7.925,False,False,False,True,False,True,False,True,7,1,0,1.1321428571428571
0,3,1,26,2,0,8.6625,True,False,False,True,True,False,False,True,3,2,1,2.8874999999999997
0,2,1,32,0,0,10.5,True,True,False,True,True,False,True,False,1,2,1,10.5
0,3,0,16,5,2,46.9,False,False,False,True,False,True,False,True,8,1,3,5.8625
0,2,1,21,0,0,73.5,True,True,False,True,True,False,True,False,1,2,3,73.5
0,3,1,26,1,0,14.4542,True,False,False,False,True,False,False,True,2,2,1,7.2271
1,3,1,32,0,0,56.4958,True,True,False,True,True,False,False,True,1,2,3,56.4958
0,3,1,25,0,0,7.65,True,True,False,True,True,False,False,True,1,2,0,7.65
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True,1,2,0,7.8958
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
1,2,1,0,0,2,29.0,False,False,False,True,False,False,True,False,3,,2,9.666666666666666
1,3,0,30,0,0,12.475,False,True,False,True,False,True,False,True,1,2,1,12.475
0,3,1,22,0,0,9.0,True,True,False,True,True,False,False,True,1,2,1,9.0
1,3,1,29,0,0,9.5,True,True,False,True,True,False,False,True,1,2,1,9.5
1,3,0,28,0,0,7.7875,False,True,True,False,False,True,False,True,1,2,0,7.7875
0,1,1,28,0,0,47.1,True,True,False,True,True,False,False,False,1,2,3,47.1
1,2,0,17,0,0,10.5,False,True,False,True,False,True,True,False,1,1,1,10.5
1,3,0,33,3,0,15.85,False,False,False,True,False,True,False,True,4,2,2,3.9625
0,3,1,16,1,3,34.375,True,False,False,True,True,False,False,True,5,1,3,6.875
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
1,1,0,23,3,2,263.0,False,False,False,True,False,True,False,False,6,2,3,43.833333333333336
0,3,1,24,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,3,1,29,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,3,1,20,0,0,7.8542,True,True,False,True,True,False,False,True,1,2,0,7.8542
0,1,1,46,1,0,61.175,True,False,False,True,True,False,False,False,2,3,3,30.5875
0,3,1,26,1,2,20.575,True,False,False,True,True,False,False,True,4,2,2,5.14375
0,3,1,59,0,0,7.25,True,True,False,True,True,False,False,True,1,3,0,7.25
0,3,1,28,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,1,1,71,0,0,34.6542,True,True,False,False,True,False,False,False,1,,3,34.6542
1,1,1,23,0,1,63.3583,True,False,False,False,True,False,False,False,2,2,3,31.67915
1,2,0,34,0,1,23.0,False,False,False,True,False,True,True,False,2,2,2,11.5
0,2,1,34,1,0,26.0,True,False,False,True,True,False,True,False,2,2,2,13.0
0,3,0,28,0,0,7.8958,False,True,False,True,False,True,False,True,1,2,0,7.8958
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True,1,2,0,7.8958
0,1,1,21,0,1,77.2875,True,False,False,True,True,False,False,False,2,2,3,38.64375
0,3,1,33,0,0,8.6542,True,True,False,True,True,False,False,True,1,2,1,8.6542
0,3,1,37,2,0,7.925,True,False,False,True,True,False,False,True,3,3,0,2.6416666666666666
0,3,1,28,0,0,7.8958,True,True,False,True,True,False,False,True,1,2,0,7.8958
1,3,0,21,0,0,7.65,False,True,False,True,False,True,False,True,1,2,0,7.65
1,3,1,28,0,0,7.775,True,True,False,True,True,False,False,True,1,2,0,7.775
0,3,1,38,0,0,7.8958,True,True,False,True,True,False,False,True,1,3,0,7.8958
1,3,0,28,1,0,24.15,False,False,True,False,False,True,False,True,2,2,2,12.075
0,1,1,47,0,0,52.0,True,True,False,True,True,False,False,False,1,3,3,52.0
0,3,0,14,1,0,14.4542,False,False,False,False,False,False,False,True,2,1,1,7.2271
0,3,1,22,0,0,8.05,True,True,False,True,True,False,False,True,1,2,1,8.05
0,3,0,20,1,0,9.825,False,False,False,True,False,True,False,True,2,2,1,4.9125
0,3,0,17,0,0,14.4583,False,True,False,False,False,True,False,True,1,1,1,14.4583
0,3,1,21,0,0,7.925,True,True,False,True,True,False,False,True,1,2,0,7.925
0,3,1,70,0,0,7.75,True,True,True,False,True,False,False,True,1,,0,7.75
0,2,1,29,1,0,21.0,True,False,False,True,True,False,True,False,2,2,2,10.5
